"operadora","contrato","campo","formacion_productora","modalidad","vigencia","mes","tipo_prueba","fecha_inicio","fecha_fin","tipo_fluido","petroleo_bbl","gas_ksc","estado"
"Amerisur Exploracion Colombia","PUT 8","Bienparado","No Reporta","No Reporta","2025","6","Iniciales","2025-01-23T00:00:00.000","2025-02-01T00:00:00.000","No Reporta","0.00","0.00","Inactivo"
"Amerisur Exploracion Colombia","PUT 8","Bienparado","No Reporta","No Reporta","2025","6","Iniciales","2025-03-25T00:00:00.000","2025-04-03T00:00:00.000","Petróleo","715.54","0.00","Inactivo"
"Canacol Energy Colombia","VIM 21","Chibigui","No Reporta","No Reporta","2025","6","Iniciales","2025-03-26T00:00:00.000","2025-04-04T00:00:00.000","Gas","0.00","0.00","No Reporta"
"Captiva Resources LLC","SN 26","Pilón","No Reporta","No Reporta","2025","6","Iniciales","2025-06-11T00:00:00.000",,"Gas","0.00","0.00","Inactivo"
"CNEOG Sucursal Colombia","Esperanza","Palmer","No Reporta","No Reporta","2025","6","Iniciales","2024-11-23T00:00:00.000",,"Gas","0.00","2999.26","Inactivo"
"CNEOG Sucursal Colombia","Joropo","Kimbo","No Reporta","No Reporta","2025","6","Iniciales","2024-11-26T00:00:00.000","2025-01-18T00:00:00.000","Petróleo","1329.40","0.00","Activo"
"CNEOG Sucursal Colombia","VIM 21","Breva","No Reporta","No Reporta","2025","6","Iniciales","2024-03-31T00:00:00.000",,"Gas","0.00","8179.00","Inactivo"
"CNEOG Sucursal Colombia","VIM 21","Arandala","No Reporta","No Reporta","2025","6","Iniciales","2024-04-15T00:00:00.000","2024-05-09T00:00:00.000","Gas","0.00","9019.00","Activo"
"CNEOG Sucursal Colombia","VIM 21","Arandala","No Reporta","No Reporta","2025","6","Iniciales","2024-12-10T00:00:00.000",,"Gas","0.00","4213.60","Inactivo"
"Ecopetrol S.A.","Apiay","Pachaquiaro","No Reporta","No Reporta","2025","6","Iniciales","2024-08-01T00:00:00.000","2024-08-28T00:00:00.000","Petróleo","93.84","0.00","Inactivo"
"Ecopetrol S.A.","Uribante","Oripaya","No Reporta","No Reporta","2025","6","Iniciales","2024-01-10T00:00:00.000","2024-01-18T00:00:00.000","Gas","0.00","0.00","No Reporta"
"Ecopetrol S.A.","VMM 32","Bufalo","No Reporta","No Reporta","2025","6","Iniciales","2024-03-21T00:00:00.000",,"No Reporta","0.00","0.00","No Reporta"
"Frontera Energy","Cachicamo","Greta Oto","No Reporta","No Reporta","2025","6","Iniciales","2025-02-16T00:00:00.000","2025-02-25T00:00:00.000","No Reporta","0.00","0.00","No Reporta"
"Frontera Energy","Cachicamo","Greta Oto","No Reporta","No Reporta","2025","6","Iniciales","2025-01-16T00:00:00.000","2025-01-25T00:00:00.000","Petróleo","101.60","0.00","Activo"
"Geopark Colombia S.A.S.","LLA 123","Toritos","No Reporta","No Reporta","2025","6","Iniciales","2024-11-26T00:00:00.000","2025-03-10T00:00:00.000","No Reporta","0.00","0.00","No Reporta"
"Geopark Colombia S.A.S.","LLA 123","Toritos","No Reporta","No Reporta","2025","6","Iniciales","2024-06-10T00:00:00.000","2025-04-27T00:00:00.000","Petróleo y gas","2323.43","0.00","Activo"
"Geopark Colombia S.A.S.","LLA 123","Toritos","No Reporta","No Reporta","2025","6","Iniciales","2025-05-23T00:00:00.000","2025-06-26T00:00:00.000","Petróleo y gas","0.00","0.00","Inactivo"
